PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Caris LeVert,ATL,18,18,452,139,23,54,42.6,13,18,72.2,60,43.2,62,44.6,15,10.8,7,5.0,9,6.5
Clint Capela,ATL,28,28,586,10,1,6,16.7,2,2,100.0,4,40.0,3,30.0,1,10.0,0,0.0,1,10.0
Daeqwon Plowden,ATL,3,3,14,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dominick Barlow,ATL,22,22,197,16,4,12,33.3,0,0,0.0,8,50.0,4,25.0,2,12.5,0,0.0,0,0.0
Dyson Daniels,ATL,39,39,1309,391,71,165,43.0,10,18,55.6,155,39.6,185,47.3,34,8.7,22,5.6,9,2.3
Garrison Mathews,ATL,26,26,439,29,2,9,22.2,8,10,80.0,12,41.4,12,41.4,4,13.8,2,6.9,5,17.2
Georges Niang,ATL,24,24,558,75,18,35,51.4,10,12,83.3,46,61.3,25,33.3,8,10.7,5,6.7,6,8.0
Jacob Toppin,ATL,4,4,12,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jalen Johnson,ATL,18,18,619,174,37,85,43.5,22,28,78.6,99,56.9,54,31.0,11,6.3,15,8.6,14,8.0
Keaton Wallace,ATL,16,16,243,47,10,15,66.7,2,2,100.0,22,46.8,24,51.1,2,4.3,6,12.8,1,2.1
Kobe Bufkin,ATL,4,4,45,9,4,4,100.0,0,0,0.0,8,88.9,3,33.3,0,0.0,1,11.1,0,0.0
Larry Nance Jr.,ATL,14,14,246,12,1,5,20.0,0,0,0.0,2,16.7,6,50.0,0,0.0,0,0.0,0,0.0
Mouhamed Gueye,ATL,18,18,254,14,5,6,83.3,3,4,75.0,13,92.9,5,35.7,1,7.1,0,0.0,2,14.3
Onyeka Okongwu,ATL,39,39,1091,41,11,26,42.3,9,10,90.0,32,78.0,10,24.4,5,12.2,0,0.0,5,12.2
Terance Mann,ATL,30,30,654,106,17,39,43.6,11,16,68.8,45,42.5,52,49.1,16,15.1,6,5.7,8,7.5
Trae Young,ATL,40,40,1461,724,125,276,45.3,98,110,89.1,363,50.1,324,44.8,106,14.6,52,7.2,55,7.6
Vít Krejčí,ATL,29,29,603,83,7,19,36.8,4,8,50.0,18,21.7,54,65.1,16,19.3,5,6.0,4,4.8
Zaccharie Risacher,ATL,37,37,926,131,25,75,33.3,13,16,81.3,65,49.6,33,25.2,8,6.1,13,9.9,8,6.1
Cam Thomas,BKN,17,17,533,262,57,118,48.3,43,51,84.3,163,62.2,89,34.0,31,11.8,17,6.5,26,9.9
Cameron Johnson,BKN,36,36,1135,240,52,99,52.5,24,26,92.3,131,54.6,106,44.2,28,11.7,18,7.5,13,5.4
Cui Cui,BKN,3,3,7,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D'Angelo Russell,BKN,32,32,787,183,43,89,48.3,28,32,87.5,118,64.5,57,31.1,17,9.3,10,5.5,16,8.7
Dariq Whitehead,BKN,14,14,185,18,3,9,33.3,1,2,50.0,7,38.9,6,33.3,0,0.0,2,11.1,1,5.6
Day'Ron Sharpe,BKN,36,36,686,31,7,17,41.2,8,10,80.0,23,74.2,6,19.4,1,3.2,2,6.5,5,16.1
De'Anthony Melton,BKN,2,2,35,6,2,3,66.7,0,0,0.0,4,66.7,2,33.3,0,0.0,0,0.0,0,0.0
Drew Timme,BKN,6,6,175,20,0,5,0.0,6,6,100.0,6,30.0,8,40.0,0,0.0,4,20.0,3,15.0
Jalen Wilson,BKN,54,54,1359,310,36,106,34.0,44,52,84.6,119,38.4,148,47.7,31,10.0,20,6.5,26,8.4
Keon Johnson,BKN,54,54,1346,353,67,153,43.8,26,38,68.4,165,46.7,142,40.2,32,9.1,23,6.5,19,5.4
Killian Hayes,BKN,5,5,136,41,4,10,40.0,6,6,100.0,14,34.1,26,63.4,6,14.6,1,2.4,3,7.3
Maxwell Lewis,BKN,19,19,233,39,11,24,45.8,1,2,50.0,24,61.5,11,28.2,3,7.7,2,5.1,1,2.6
Nic Claxton,BKN,50,50,1341,137,40,86,46.5,16,30,53.3,98,71.5,25,18.2,3,2.2,6,4.4,15,10.9
Noah Clowney,BKN,35,35,798,75,6,32,18.8,10,11,90.9,22,29.3,23,30.7,5,6.7,9,12.0,6,8.0
Reece Beekman,BKN,23,23,358,98,16,40,40.0,14,18,77.8,44,44.9,44,44.9,5,5.1,3,3.1,8,8.2
Tosan Evbuomwan,BKN,20,20,475,130,28,62,45.2,18,28,64.3,76,58.5,39,30.0,9,6.9,11,8.5,14,10.8
Trendon Watford,BKN,28,28,578,230,55,109,50.5,27,39,69.2,142,61.7,76,33.0,22,9.6,19,8.3,20,8.7
Tyrese Martin,BKN,44,44,1000,204,39,84,46.4,14,16,87.5,93,45.6,87,42.6,26,12.7,22,10.8,8,3.9
Tyson Etienne,BKN,6,6,126,11,1,1,100.0,3,4,75.0,5,45.5,6,54.5,0,0.0,0,0.0,2,18.2
Ziaire Williams,BKN,41,41,977,112,18,55,32.7,19,20,95.0,57,50.9,31,27.7,4,3.6,11,9.8,11,9.8
Al Horford,BOS,16,16,441,13,3,5,60.0,0,0,0.0,6,46.2,7,53.8,1,7.7,1,7.7,0,0.0
Baylor Scheierman,BOS,4,4,64,13,4,7,57.1,2,2,100.0,10,76.9,3,23.1,0,0.0,0,0.0,1,7.7
Derrick White,BOS,18,18,612,81,16,27,59.3,6,8,75.0,39,48.1,37,45.7,6,7.4,12,14.8,4,4.9
