PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,L_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Caris LeVert,ATL,18,18,452,139,23,54,42.6,13,18,72.2,60,43.2,62,44.6,15,10.8,7,5.0,9,6.5,1.4336283185840708,1.4336283185840708,11.07079646017699,1.8318584070796462,4.300884955752212,3.392920353982301,1.0353982300884956,1.4336283185840708,5.750442477876106,4.778761061946903,3.44070796460177,4.938053097345133,3.5522123893805313,1.1946902654867257,0.8601769911504425,0.5575221238938053,0.39823008849557523,0.7168141592920354,0.5176991150442478
Clint Capela,ATL,28,28,586,10,1,6,16.7,2,2,100.0,4,40.0,3,30.0,1,10.0,0,0.0,1,10.0,1.7201365187713311,1.7201365187713311,0.6143344709897611,0.06143344709897611,0.36860068259385664,1.025938566552901,0.12286689419795221,0.12286689419795221,6.143344709897612,0.24573378839590443,2.4573378839590445,0.18430034129692832,1.8430034129692832,0.06143344709897611,0.6143344709897611,0.0,0.0,0.06143344709897611,0.6143344709897611
Daeqwon Plowden,ATL,3,3,14,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7.7142857142857135,7.7142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominick Barlow,ATL,22,22,197,16,4,12,33.3,0,0,0.0,8,50.0,4,25.0,2,12.5,0,0.0,0,0.0,4.020304568527919,4.020304568527919,2.9238578680203045,0.7309644670050761,2.1928934010152283,6.0852791878172585,0.0,0.0,0.0,1.4619289340101522,9.137055837563452,0.7309644670050761,4.568527918781726,0.36548223350253806,2.284263959390863,0.0,0.0,0.0,0.0
Dyson Daniels,ATL,39,39,1309,391,71,165,43.0,10,18,55.6,155,39.6,185,47.3,34,8.7,22,5.6,9,2.3,1.0725744843391902,1.0725744843391902,10.753246753246753,1.9526355996944231,4.53781512605042,1.1825821237585943,0.2750190985485103,0.4950343773873186,1.5291061879297174,4.26279602750191,1.0890756302521007,5.08785332314744,1.3008403361344536,0.9350649350649352,0.23926661573720395,0.6050420168067226,0.15401069518716579,0.2475171886936593,0.06325439266615737
Garrison Mathews,ATL,26,26,439,29,2,9,22.2,8,10,80.0,12,41.4,12,41.4,4,13.8,2,6.9,5,17.2,2.132118451025057,2.132118451025057,2.3781321184510253,0.16400911161731208,0.7380410022779044,1.820501138952164,0.6560364464692483,0.8200455580865604,6.5603644646924835,0.9840546697038725,3.39498861047836,0.9840546697038725,3.39498861047836,0.32801822323462415,1.1316628701594533,0.16400911161731208,0.5658314350797267,0.4100227790432802,1.410478359908884
Georges Niang,ATL,24,24,558,75,18,35,51.4,10,12,83.3,46,61.3,25,33.3,8,10.7,5,6.7,6,8.0,1.5483870967741937,1.5483870967741937,4.838709677419354,1.161290322580645,2.258064516129032,3.3161290322580643,0.6451612903225806,0.7741935483870969,5.374193548387097,2.967741935483871,3.9548387096774196,1.6129032258064515,2.148387096774193,0.5161290322580645,0.6903225806451613,0.3225806451612903,0.432258064516129,0.38709677419354843,0.5161290322580645
Jacob Toppin,ATL,4,4,12,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,ATL,18,18,619,174,37,85,43.5,22,28,78.6,99,56.9,54,31.0,11,6.3,15,8.6,14,8.0,1.0468497576736673,1.0468497576736673,10.119547657512117,2.151857835218094,4.94345718901454,2.529886914378029,1.2794830371567045,1.62843295638126,4.57124394184168,5.75767366720517,3.3092084006462033,3.140549273021002,1.802907915993538,0.6397415185783523,0.3663974151857835,0.8723747980613894,0.5001615508885299,0.81421647819063,0.46526655896607433
Keaton Wallace,ATL,16,16,243,47,10,15,66.7,2,2,100.0,22,46.8,24,51.1,2,4.3,6,12.8,1,2.1,2.3703703703703707,2.3703703703703707,6.962962962962964,1.4814814814814814,2.2222222222222223,9.881481481481483,0.29629629629629634,0.29629629629629634,14.814814814814815,3.2592592592592595,6.933333333333334,3.5555555555555554,7.57037037037037,0.29629629629629634,0.637037037037037,0.8888888888888888,1.8962962962962966,0.14814814814814817,0.3111111111111111
Kobe Bufkin,ATL,4,4,45,9,4,4,100.0,0,0,0.0,8,88.9,3,33.3,0,0.0,1,11.1,0,0.0,3.2,3.2,7.2,3.2,3.2,80.0,0.0,0.0,0.0,6.4,71.12,2.4,26.64,0.0,0.0,0.8,8.879999999999999,0.0,0.0
Larry Nance Jr.,ATL,14,14,246,12,1,5,20.0,0,0,0.0,2,16.7,6,50.0,0,0.0,0,0.0,0,0.0,2.048780487804878,2.048780487804878,1.7560975609756098,0.14634146341463417,0.7317073170731707,2.926829268292683,0.0,0.0,0.0,0.29268292682926833,2.44390243902439,0.8780487804878049,7.317073170731707,0.0,0.0,0.0,0.0,0.0,0.0
Mouhamed Gueye,ATL,18,18,254,14,5,6,83.3,3,4,75.0,13,92.9,5,35.7,1,7.1,0,0.0,2,14.3,2.5511811023622046,2.5511811023622046,1.984251968503937,0.7086614173228346,0.8503937007874016,11.806299212598425,0.4251968503937008,0.5669291338582677,10.629921259842519,1.8425196850393701,13.166929133858268,0.7086614173228346,5.0598425196850405,0.14173228346456693,1.0062992125984251,0.0,0.0,0.28346456692913385,2.026771653543307
Onyeka Okongwu,ATL,39,39,1091,41,11,26,42.3,9,10,90.0,32,78.0,10,24.4,5,12.2,0,0.0,5,12.2,1.2868927589367551,1.2868927589367551,1.3528872593950505,0.3629697525206233,0.8579285059578369,1.3957836846929421,0.2969752520623281,0.3299725022914757,2.9697525206232815,1.0559120073327224,2.5737855178735103,0.3299725022914757,0.8051329055912007,0.16498625114573784,0.4025664527956003,0.0,0.0,0.16498625114573784,0.4025664527956003
Terance Mann,ATL,30,30,654,106,17,39,43.6,11,16,68.8,45,42.5,52,49.1,16,15.1,6,5.7,8,7.5,1.651376146788991,1.651376146788991,5.834862385321101,0.9357798165137614,2.146788990825688,2.4,0.6055045871559632,0.8807339449541285,3.7871559633027525,2.4770642201834865,2.3394495412844036,2.8623853211009176,2.7027522935779817,0.8807339449541285,0.8311926605504587,0.3302752293577982,0.3137614678899083,0.44036697247706424,0.41284403669724773
Trae Young,ATL,40,40,1461,724,125,276,45.3,98,110,89.1,363,50.1,324,44.8,106,14.6,52,7.2,55,7.6,0.9856262833675564,0.9856262833675564,17.83983572895277,3.0800821355236137,6.800821355236139,1.1162217659137577,2.414784394250513,2.71047227926078,2.195482546201232,8.944558521560575,1.2344969199178646,7.983572895277208,1.1039014373716631,2.6119096509240247,0.3597535934291581,1.2813141683778235,0.17741273100616017,1.35523613963039,0.18726899383983572
Vít Krejčí,ATL,29,29,603,83,7,19,36.8,4,8,50.0,18,21.7,54,65.1,16,19.3,5,6.0,4,4.8,1.7313432835820897,1.7313432835820897,4.955223880597015,0.417910447761194,1.1343283582089554,2.1970149253731344,0.23880597014925373,0.47761194029850745,2.9850746268656714,1.0746268656716418,1.2955223880597015,3.2238805970149254,3.886567164179104,0.9552238805970149,1.1522388059701494,0.2985074626865672,0.3582089552238806,0.23880597014925373,0.28656716417910444
