PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Caris LeVert,ATL,46,46,1145,347,58,125,46.4,27,45,60,143,41.2,171,49.3,50,14.4,21,6.1,23,6.6
Clint Capela,ATL,27,27,591,6,1,3,33.3,0,0,0,2,33.3,2,33.3,0,0,1,16.7,0,0
Daeqwon Plowden,ATL,3,3,58,8,3,3,100,0,0,0,6,75,5,62.5,2,25,0,0,0,0
Dominick Barlow,ATL,13,13,178,18,3,5,60,2,4,50,8,44.4,8,44.4,2,11.1,2,11.1,2,11.1
Dyson Daniels,ATL,37,37,1263,391,79,161,49.1,21,34,61.8,182,46.5,175,44.8,44,11.3,25,6.4,17,4.3
Garrison Mathews,ATL,21,21,391,27,3,8,37.5,7,8,87.5,13,48.1,10,37,4,14.8,2,7.4,4,14.8
Georges Niang,ATL,55,55,1140,154,40,74,54.1,3,4,75,85,55.2,63,40.9,18,11.7,12,7.8,2,1.3
Jacob Toppin,ATL,13,13,63,13,2,5,40,0,0,0,4,30.8,6,46.2,2,15.4,2,15.4,0,0
Jalen Johnson,ATL,18,18,665,140,32,63,50.8,15,20,75,80,57.1,54,38.6,18,12.9,11,7.9,10,7.1
Keaton Wallace,ATL,15,15,259,79,15,40,37.5,4,4,100,34,43,36,45.6,3,3.8,1,1.3,2,2.5
Kobe Bufkin,ATL,6,6,79,26,6,14,42.9,4,4,100,16,61.5,8,30.8,3,11.5,1,3.8,2,7.7
Larry Nance Jr.,ATL,10,10,217,10,3,4,75,0,0,0,6,60,5,50,4,40,1,10,0,0
Mouhamed Gueye,ATL,15,15,278,11,3,6,50,2,2,100,9,81.8,4,36.4,1,9.1,0,0,1,9.1
Onyeka Okongwu,ATL,35,35,973,30,8,23,34.8,0,0,0,17,56.7,3,10,1,3.3,3,10,0,0
Terance Mann,ATL,37,37,761,111,27,47,57.4,1,4,25,56,50.5,56,50.5,19,17.1,3,2.7,2,1.8
Trae Young,ATL,36,36,1278,578,115,237,48.5,56,71,78.9,297,51.4,244,42.2,73,12.6,41,7.1,34,5.9
Vít Krejčí,ATL,28,28,550,102,20,24,83.3,3,6,50,43,42.2,72,70.6,22,21.6,2,2,3,2.9
Zaccharie Risacher,ATL,38,38,918,138,39,77,50.6,10,12,83.3,90,65.2,43,31.2,7,5.1,11,8,6,4.3
Cam Thomas,BKN,8,8,248,106,26,48,54.2,24,25,96,80,75.5,39,36.8,12,11.3,5,4.7,13,12.3
Cameron Johnson,BKN,21,21,664,157,31,56,55.4,31,32,96.9,95,60.5,68,43.3,18,11.5,9,5.7,16,10.2
Cui Cui,BKN,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Angelo Russell,BKN,26,26,693,173,42,87,48.3,23,28,82.1,111,64.2,58,33.5,19,11,7,4,14,8.1
Dariq Whitehead,BKN,6,6,61,6,1,2,50,0,0,0,2,33.3,2,33.3,1,16.7,1,16.7,0,0
Day'Ron Sharpe,BKN,14,14,222,8,2,3,66.7,1,2,50,6,75,3,37.5,2,25,1,12.5,1,12.5
De'Anthony Melton,BKN,4,4,86,23,2,6,33.3,0,0,0,4,17.4,14,60.9,5,21.7,1,4.3,0,0
Drew Timme,BKN,3,3,79,10,5,8,62.5,0,0,0,11,110,2,20,1,10,0,0,0,0
Jalen Wilson,BKN,25,25,673,144,21,44,47.7,14,16,87.5,58,40.3,82,56.9,18,12.5,8,5.6,8,5.6
Keon Johnson,BKN,25,25,579,126,21,64,32.8,17,20,85,60,47.6,46,36.5,17,13.5,4,3.2,10,7.9
Killian Hayes,BKN,1,1,27,5,1,2,50,1,2,50,3,60,2,40,0,0,0,0,1,20
Maxwell Lewis,BKN,9,9,94,19,4,6,66.7,0,0,0,8,42.1,8,42.1,1,5.3,4,21.1,0,0
Nic Claxton,BKN,20,20,541,51,14,28,50,6,8,75,34,66.7,15,29.4,4,7.8,2,3.9,4,7.8
Noah Clowney,BKN,11,11,244,17,3,7,42.9,5,6,83.3,12,70.6,5,29.4,0,0,1,5.9,3,17.6
Reece Beekman,BKN,13,13,111,35,4,10,40,0,0,0,8,22.9,21,60,4,11.4,2,5.7,0,0
Tosan Evbuomwan,BKN,8,8,190,47,6,19,31.6,10,12,83.3,22,46.8,21,44.7,7,14.9,0,0,6,12.8
Trendon Watford,BKN,16,16,335,127,31,60,51.7,17,20,85,81,63.8,41,32.3,5,3.9,13,10.2,10,7.9
Tyrese Martin,BKN,16,16,315,56,8,19,42.1,4,6,66.7,20,35.7,28,50,9,16.1,4,7.1,3,5.4
Tyson Etienne,BKN,1,1,26,2,0,0,0,2,2,100,2,100,1,50,0,0,0,0,1,50
Ziaire Williams,BKN,22,22,564,45,8,20,40,5,8,62.5,21,46.7,17,37.8,5,11.1,2,4.4,4,8.9
Al Horford,BOS,44,44,1218,50,8,20,40,2,2,100,19,38,25,50,5,10,3,6,1,2
Baylor Scheierman,BOS,27,27,320,32,5,10,50,4,6,66.7,15,46.9,15,46.9,7,21.9,4,12.5,3,9.4
Derrick White,BOS,58,58,1962,285,71,128,55.5,45,50,90,193,67.7,105,36.8,30,10.5,19,6.7,25,8.8
Drew Peterson,BOS,17,17,122,11,2,3,66.7,0,0,0,4,36.4,7,63.6,1,9.1,1,9.1,0,0
JD Davison,BOS,13,13,66,24,5,11,45.5,1,2,50,11,45.8,7,29.2,2,8.3,4,16.7,1,4.2
Jaylen Brown,BOS,46,46,1537,559,138,266,51.9,59,74,79.7,346,61.9,200,35.8,61,10.9,36,6.4,37,6.6
Jayson Tatum,BOS,53,53,1911,514,146,256,57,79,92,85.9,381,74.1,161,31.3,48,9.3,30,5.8,46,8.9
Jordan Walsh,BOS,39,39,310,20,7,9,77.8,3,4,75,18,90,6,30,1,5,3,15,2,10
Jrue Holiday,BOS,47,47,1438,217,48,92,52.2,23,24,95.8,121,55.8,98,45.2,29,13.4,12,5.5,12,5.5
Kristaps Porziņģis,BOS,30,30,860,49,18,29,62.1,12,12,100,49,100,10,20.4,1,2,2,4.1,6,12.2
Luke Kornet,BOS,53,53,1034,9,4,4,100,0,0,0,8,88.9,4,44.4,0,0,0,0,0,0
Miles Norris,BOS,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neemias Queta,BOS,46,46,652,17,5,9,55.6,2,2,100,12,70.6,6,35.3,1,5.9,0,0,1,5.9
Payton Pritchard,BOS,59,59,1659,327,65,100,65,12,14,85.7,143,43.7,200,61.2,61,18.7,15,4.6,7,2.1
Sam Hauser,BOS,52,52,1185,51,19,27,70.4,4,4,100,43,84.3,20,39.2,3,5.9,0,0,2,3.9
Torrey Craig,BOS,16,16,183,10,2,3,66.7,0,0,0,4,40,6,60,0,0,0,0,0,0
Xavier Tillman,BOS,26,26,200,13,2,5,40,0,0,0,4,30.8,4,30.8,0,0,3,23.1,0,0
Brandon Miller,CHA,8,8,254,59,14,35,40,3,6,50,32,54.2,14,23.7,4,6.8,5,8.5,3,5.1
DaQuan Jeffries,CHA,9,9,232,15,3,5,60,1,2,50,7,46.7,7,46.7,2,13.3,1,6.7,1,6.7
Damion Baugh,CHA,1,1,29,11,2,5,40,0,0,0,4,36.4,6,54.5,2,18.2,0,0,0,0
Grant Williams,CHA,6,6,175,19,2,3,66.7,6,6,100,10,52.6,8,42.1,2,10.5,3,15.8,3,15.8
Isaiah Wong,CHA,2,2,21,7,1,4,25,2,2,100,4,57.1,2,28.6,2,28.6,0,0,1,14.3
