PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,W_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Caris LeVert,ATL,46,46,1145,347,58,125,46.4,27,45,60.0,143,41.2,171,49.3,50,14.4,21,6.1,23,6.6,1.446288209606987,1.446288209606987,10.91004366812227,1.8235807860262008,3.9301310043668125,1.4588646288209608,0.8489082969432314,1.4148471615720524,1.8864628820960698,4.496069868995633,1.2953711790393014,5.376419213973799,1.5500436681222707,1.5720524017467248,0.4527510917030568,0.6602620087336244,0.19179039301310044,0.7231441048034934,0.20751091703056768
Clint Capela,ATL,27,27,591,6,1,3,33.3,0,0,0.0,2,33.3,2,33.3,0,0.0,1,16.7,0,0.0,1.6446700507614214,1.6446700507614214,0.36548223350253806,0.06091370558375634,0.18274111675126903,2.028426395939086,0.0,0.0,0.0,0.12182741116751268,2.028426395939086,0.12182741116751268,2.028426395939086,0.0,0.0,0.06091370558375634,1.0172588832487308,0.0,0.0
Daeqwon Plowden,ATL,3,3,58,8,3,3,100.0,0,0,0.0,6,75.0,5,62.5,2,25.0,0,0.0,0,0.0,1.8620689655172413,1.8620689655172413,4.9655172413793105,1.8620689655172413,1.8620689655172413,62.068965517241374,0.0,0.0,0.0,3.7241379310344827,46.55172413793103,3.1034482758620694,38.793103448275865,1.2413793103448276,15.517241379310343,0.0,0.0,0.0,0.0
Dominick Barlow,ATL,13,13,178,18,3,5,60.0,2,4,50.0,8,44.4,8,44.4,2,11.1,2,11.1,2,11.1,2.629213483146067,2.629213483146067,3.640449438202247,0.6067415730337078,1.0112359550561798,12.134831460674157,0.4044943820224719,0.8089887640449438,10.112359550561798,1.6179775280898876,8.979775280898876,1.6179775280898876,8.979775280898876,0.4044943820224719,2.244943820224719,0.4044943820224719,2.244943820224719,0.4044943820224719,2.244943820224719
Dyson Daniels,ATL,37,37,1263,391,79,161,49.1,21,34,61.8,182,46.5,175,44.8,44,11.3,25,6.4,17,4.3,1.0546318289786223,1.0546318289786223,11.144893111638956,2.2517814726840855,4.589073634204276,1.3995249406175772,0.5985748218527316,0.9691211401425177,1.7615201900237527,5.187648456057007,1.32541567695962,4.98812351543943,1.2769596199524942,1.2541567695961997,0.32209026128266033,0.7125890736342042,0.1824228028503563,0.48456057007125886,0.12256532066508312
Garrison Mathews,ATL,21,21,391,27,3,8,37.5,7,8,87.5,13,48.1,10,37.0,4,14.8,2,7.4,4,14.8,1.9335038363171355,1.9335038363171355,2.485933503836317,0.27621483375959077,0.7365728900255755,3.452685421994885,0.6445012787723785,0.7365728900255755,8.05626598465473,1.1969309462915603,4.4286445012787725,0.9207161125319693,3.4066496163682864,0.36828644501278773,1.3626598465473148,0.18414322250639387,0.6813299232736574,0.36828644501278773,1.3626598465473148
Georges Niang,ATL,55,55,1140,154,40,74,54.1,3,4,75.0,85,55.2,63,40.9,18,11.7,12,7.8,2,1.3,1.7368421052631577,1.7368421052631577,4.863157894736842,1.263157894736842,2.3368421052631576,1.708421052631579,0.09473684210526316,0.12631578947368421,2.3684210526315788,2.6842105263157894,1.743157894736842,1.9894736842105263,1.291578947368421,0.5684210526315789,0.3694736842105263,0.37894736842105264,0.24631578947368418,0.06315789473684211,0.041052631578947375
Jacob Toppin,ATL,13,13,63,13,2,5,40.0,0,0,0.0,4,30.8,6,46.2,2,15.4,2,15.4,0,0.0,7.428571428571428,7.428571428571428,7.428571428571428,1.1428571428571428,2.8571428571428568,22.857142857142854,0.0,0.0,0.0,2.2857142857142856,17.599999999999998,3.4285714285714284,26.400000000000002,1.1428571428571428,8.799999999999999,1.1428571428571428,8.799999999999999,0.0,0.0
Jalen Johnson,ATL,18,18,665,140,32,63,50.8,15,20,75.0,80,57.1,54,38.6,18,12.9,11,7.9,10,7.1,0.9744360902255639,0.9744360902255639,7.578947368421052,1.7323308270676692,3.4105263157894736,2.750075187969925,0.8120300751879699,1.0827067669172932,4.060150375939849,4.330827067669173,3.091127819548872,2.923308270676692,2.089624060150376,0.9744360902255639,0.6983458646616542,0.5954887218045112,0.4276691729323308,0.5413533834586466,0.38436090225563907
Keaton Wallace,ATL,15,15,259,79,15,40,37.5,4,4,100.0,34,43.0,36,45.6,3,3.8,1,1.3,2,2.5,2.084942084942085,2.084942084942085,10.980694980694981,2.084942084942085,5.559845559845559,5.212355212355212,0.555984555984556,0.555984555984556,13.8996138996139,4.725868725868725,5.976833976833976,5.003861003861004,6.338223938223938,0.416988416988417,0.5281853281853282,0.138996138996139,0.1806949806949807,0.277992277992278,0.34749034749034746
Kobe Bufkin,ATL,6,6,79,26,6,14,42.9,4,4,100.0,16,61.5,8,30.8,3,11.5,1,3.8,2,7.7,2.7341772151898733,2.7341772151898733,11.848101265822784,2.7341772151898733,6.379746835443038,19.549367088607596,1.8227848101265822,1.8227848101265822,45.56962025316456,7.291139240506329,28.025316455696203,3.6455696202531644,14.035443037974684,1.3670886075949367,5.240506329113924,0.45569620253164556,1.731645569620253,0.9113924050632911,3.508860759493671
Larry Nance Jr.,ATL,10,10,217,10,3,4,75.0,0,0,0.0,6,60.0,5,50.0,4,40.0,1,10.0,0,0.0,1.6589861751152075,1.6589861751152075,1.6589861751152075,0.4976958525345622,0.663594470046083,12.442396313364055,0.0,0.0,0.0,0.9953917050691244,9.953917050691246,0.8294930875576038,8.294930875576037,0.663594470046083,6.63594470046083,0.16589861751152074,1.6589861751152075,0.0,0.0
Mouhamed Gueye,ATL,15,15,278,11,3,6,50.0,2,2,100.0,9,81.8,4,36.4,1,9.1,0,0.0,1,9.1,1.9424460431654675,1.9424460431654675,1.424460431654676,0.38848920863309355,0.7769784172661871,6.474820143884892,0.2589928057553957,0.2589928057553957,12.949640287769784,1.1654676258992807,10.592805755395684,0.5179856115107914,4.713669064748201,0.12949640287769784,1.1784172661870502,0.0,0.0,0.12949640287769784,1.1784172661870502
Onyeka Okongwu,ATL,35,35,973,30,8,23,34.8,0,0,0.0,17,56.7,3,10.0,1,3.3,3,10.0,0,0.0,1.2949640287769784,1.2949640287769784,1.1099691675231245,0.2959917780061665,0.8509763617677287,1.2875642343268243,0.0,0.0,0.0,0.6289825282631037,2.097841726618705,0.11099691675231244,0.3699897225077081,0.03699897225077081,0.12209660842754368,0.11099691675231244,0.3699897225077081,0.0,0.0
Terance Mann,ATL,37,37,761,111,27,47,57.4,1,4,25.0,56,50.5,56,50.5,19,17.1,3,2.7,2,1.8,1.7503285151116952,1.7503285151116952,5.2509855453350855,1.2772667542706966,2.223390275952694,2.7153745072273328,0.04730617608409987,0.18922470433639949,1.1826544021024967,2.6491458607095923,2.388961892247043,2.6491458607095923,2.388961892247043,0.8988173455978974,0.8089356110381078,0.1419185282522996,0.12772667542706967,0.09461235216819974,0.08515111695137977
Trae Young,ATL,36,36,1278,578,115,237,48.5,56,71,78.9,297,51.4,244,42.2,73,12.6,41,7.1,34,5.9,1.0140845070422535,1.0140845070422535,16.28169014084507,3.2394366197183095,6.67605633802817,1.3661971830985915,1.5774647887323945,2.0,2.222535211267606,8.366197183098592,1.447887323943662,6.873239436619719,1.1887323943661972,2.056338028169014,0.3549295774647887,1.1549295774647887,0.19999999999999998,0.9577464788732394,0.16619718309859155
Vít Krejčí,ATL,28,28,550,102,20,24,83.3,3,6,50.0,43,42.2,72,70.6,22,21.6,2,2.0,3,2.9,1.8327272727272728,1.8327272727272728,6.676363636363637,1.309090909090909,1.570909090909091,5.4523636363636365,0.19636363636363638,0.39272727272727276,3.272727272727273,2.8145454545454545,2.7621818181818183,4.712727272727273,4.621090909090908,1.44,1.413818181818182,0.13090909090909092,0.13090909090909092,0.19636363636363638,0.18981818181818183
Zaccharie Risacher,ATL,38,38,918,138,39,77,50.6,10,12,83.3,90,65.2,43,31.2,7,5.1,11,8.0,6,4.3,1.4901960784313726,1.4901960784313726,5.411764705882352,1.5294117647058825,3.019607843137255,1.9843137254901961,0.3921568627450981,0.47058823529411764,3.2666666666666666,3.5294117647058822,2.5568627450980395,1.6862745098039216,1.2235294117647058,0.27450980392156865,0.19999999999999998,0.4313725490196078,0.3137254901960785,0.23529411764705882,0.16862745098039217
Cam Thomas,BKN,8,8,248,106,26,48,54.2,24,25,96.0,80,75.5,39,36.8,12,11.3,5,4.7,13,12.3,1.161290322580645,1.161290322580645,15.387096774193548,3.774193548387097,6.967741935483871,7.867741935483871,3.4838709677419355,3.629032258064516,13.935483870967742,11.612903225806452,10.95967741935484,5.661290322580645,5.341935483870968,1.7419354838709677,1.6403225806451616,0.7258064516129032,0.682258064516129,1.8870967741935485,1.785483870967742
Cameron Johnson,BKN,21,21,664,157,31,56,55.4,31,32,96.9,95,60.5,68,43.3,18,11.5,9,5.7,16,10.2,1.1385542168674698,1.1385542168674698,8.512048192771084,1.680722891566265,3.0361445783132526,3.003614457831325,1.680722891566265,1.7349397590361446,5.253614457831326,5.150602409638554,3.2801204819277108,3.686746987951807,2.347590361445783,0.9759036144578314,0.6234939759036144,0.4879518072289157,0.30903614457831324,0.8674698795180723,0.553012048192771
